name	;ft	;lu	;bt	;mg	;dt	;sp	;cg
0_random_d6_64-bTrue	;0.6663755790113144	;1.6721177731235692	;1.5328346326352051	;0.9555971072541708	;1.027175953739862	;1.5299723763361954	;1.0051945784315863
0_3torus-4-4-4	;1.0	;1.0	;1.0	;1.0	;1.0	;1.0	;1.0
