job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
23,w0,delay_lu.C.4,290.504037,4,436.000000,1,COMPLETED_SUCCESSFULLY,290.505837,290.530000,581.035837,0.001800,290.531800,1.000006,2 4 24-25,-1.000000,""
47,w0,delay_is.B.2,581.605922,2,67.000000,1,COMPLETED_SUCCESSFULLY,581.607722,6.609000,588.216722,0.001800,6.610800,1.000272,1-2,-1.000000,""
26,w0,delay_ft.C.2,324.440409,2,399.000000,1,COMPLETED_SUCCESSFULLY,324.442209,265.800000,590.242209,0.001800,265.801800,1.000007,14-15,-1.000000,""
45,w0,delay_ft.B.2,563.553433,2,123.000000,1,COMPLETED_SUCCESSFULLY,563.555233,62.080000,625.635233,0.001800,62.081800,1.000029,28-29,-1.000000,""
28,w0,delay_lu.B.1,346.187288,1,420.000000,1,COMPLETED_SUCCESSFULLY,346.189088,279.990000,626.179088,0.001800,279.991800,1.000006,3,-1.000000,""
30,w0,delay_lu.B.1,378.407292,1,420.000000,1,COMPLETED_SUCCESSFULLY,378.409092,279.990000,658.399092,0.001800,279.991800,1.000006,16,-1.000000,""
53,w0,delay_is.B.2,667.277360,2,67.000000,1,COMPLETED_SUCCESSFULLY,667.279160,6.609000,673.888160,0.001800,6.610800,1.000272,33-34,-1.000000,""
50,w0,delay_ft.B.2,627.753679,2,123.000000,1,COMPLETED_SUCCESSFULLY,627.755479,62.080000,689.835479,0.001800,62.081800,1.000029,3 28,-1.000000,""
49,w0,delay_ft.B.1,613.095100,1,149.000000,1,COMPLETED_SUCCESSFULLY,613.096900,88.510000,701.606900,0.001800,88.511800,1.000020,30,-1.000000,""
56,w0,delay_is.B.4,708.052138,4,64.000000,1,COMPLETED_SUCCESSFULLY,708.053938,3.993000,712.046938,0.001800,3.994800,1.000451,28 30 35-36,-1.000000,""
57,w0,delay_is.B.2,711.068088,2,67.000000,1,COMPLETED_SUCCESSFULLY,711.069888,6.609000,717.678888,0.001800,6.610800,1.000272,37-38,-1.000000,""
8,w0,delay_lu.C.2,126.478295,2,891.000000,1,COMPLETED_SUCCESSFULLY,126.480095,593.590000,720.070095,0.001800,593.591800,1.000003,5-6,-1.000000,""
35,w0,delay_lu.C.4,444.401409,4,436.000000,1,COMPLETED_SUCCESSFULLY,444.403209,290.530000,734.933209,0.001800,290.531800,1.000006,7 10-12,-1.000000,""
10,w0,delay_lu.C.2,142.901063,2,891.000000,1,COMPLETED_SUCCESSFULLY,142.902863,593.590000,736.492863,0.001800,593.591800,1.000003,8 13,-1.000000,""
58,w0,delay_is.B.1,728.146984,1,70.000000,1,COMPLETED_SUCCESSFULLY,728.148784,9.257000,737.405784,0.001800,9.258800,1.000194,5,-1.000000,""
48,w0,delay_lu.C.8,603.766950,8,269.000000,1,COMPLETED_SUCCESSFULLY,603.768750,179.080000,782.848750,0.001800,179.081800,1.000010,1-2 4 14-15 17 24-25,-1.000000,""
55,w0,delay_ft.B.1,694.644349,1,149.000000,1,COMPLETED_SUCCESSFULLY,694.646149,88.510000,783.156149,0.001800,88.511800,1.000020,3,-1.000000,""
32,w0,delay_ft.C.1,400.602796,1,580.000000,1,COMPLETED_SUCCESSFULLY,400.604596,386.480000,787.084596,0.001800,386.481800,1.000005,21,-1.000000,""
52,w0,delay_lu.B.2,665.603059,2,212.000000,1,COMPLETED_SUCCESSFULLY,665.604859,140.950000,806.554859,0.001800,140.951800,1.000013,16 32,-1.000000,""
