State, rank-4, MPI_STATE, 0.053130, 0.066439, 0.013309, 0.000000, PMPI_Wait
State, rank-4, MPI_STATE, 0.066439, 0.066439, 0.000000, 0.000000, PMPI_Send
State, rank-4, MPI_STATE, 0.066439, 0.066439, 0.000000, 0.000000, PMPI_Irecv
State, rank-4, MPI_STATE, 0.066439, 0.080969, 0.014530, 0.000000, PMPI_Wait
State, rank-4, MPI_STATE, 0.080969, 0.080969, 0.000000, 0.000000, PMPI_Send
State, rank-4, MPI_STATE, 0.080969, 0.086972, 0.006003, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.086972, 0.086972, 0.000000, 0.000000, PMPI_Irecv
State, rank-4, MPI_STATE, 0.086972, 0.088160, 0.001188, 0.000000, PMPI_Wait
State, rank-4, MPI_STATE, 0.088160, 0.088160, 0.000000, 0.000000, PMPI_Send
State, rank-4, MPI_STATE, 0.088160, 0.088160, 0.000000, 0.000000, PMPI_Irecv
State, rank-4, MPI_STATE, 0.088160, 0.089348, 0.001188, 0.000000, PMPI_Wait
State, rank-4, MPI_STATE, 0.089348, 0.089348, 0.000000, 0.000000, PMPI_Send
State, rank-4, MPI_STATE, 0.089348, 0.095353, 0.006005, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 0.095353, 0.096553, 0.001200, 0.000000, PMPI_Barrier
State, rank-4, MPI_STATE, 0.096553, 0.098976, 0.002423, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.098976, 0.100187, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.100187, 0.101397, 0.001210, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.101397, 0.102608, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.102608, 0.103819, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.103819, 0.105030, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.105030, 0.106241, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.106241, 0.107451, 0.001210, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.107451, 0.108662, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.108662, 0.109873, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.109873, 0.111084, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.111084, 0.112294, 0.001210, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.112294, 0.113505, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.113505, 0.114716, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.114716, 0.115927, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.115927, 0.117138, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.117138, 0.118348, 0.001210, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.118348, 0.119559, 0.001211, 0.000000, PMPI_Recv
State, rank-4, MPI_STATE, 0.119559, 0.120770, 0.001211, 0.000000, PMPI_Recv
